rok;okr;hhPO;maxPO;topPO;max3PO;top3PO;max6PO;top6PO;cum90PO;hhPSL;maxPSL;topPSL;max3PSL;top3PSL;max6PSL;top6PSL;cum90PSL;hhPiS;maxPiS;topPiS;max3PiS;top3PiS;max6PiS;top6PiS;cum90PiS;hhSLD;maxSLD;topSLD;max3SLD;top3SLD;max6SLD;top6SLD;cum90SLD;
2005;01;1061.8;21.7;21.7;44.9;44.6;70.1;60.8;11;2271.6;43.8;43.8;66.8;66.8;79.0;76.7;12;1105.1;25.5;25.5;47.6;42.3;66.8;65.0;15;2953.6;48.0;48.0;79.1;72.7;91.0;91.0;6;
2005;02;1795.7;37.0;37.0;58.6;54.3;77.0;74.3;10;2936.4;51.4;51.4;69.4;63.1;85.4;78.2;8;1236.9;22.8;22.8;50.4;50.4;69.2;64.6;11;2338.9;36.5;23.2;77.5;66.7;96.1;95.0;5;
2005;03;3659.2;58.9;58.9;74.6;73.5;84.3;84.3;10;1070.4;25.9;25.9;44.2;41.9;64.2;60.5;15;2498.0;46.9;46.9;66.8;64.4;80.6;75.0;12;2017.8;39.1;39.1;65.5;65.5;81.7;79.8;11;
2005;04;1399.5;28.2;28.2;54.5;47.4;78.5;71.0;11;1937.9;39.9;39.9;60.1;59.7;76.3;74.0;13;1253.7;24.3;24.3;56.4;56.4;72.8;72.8;15;4164.9;63.3;63.3;78.6;73.1;87.7;81.9;7;
2005;05;1317.4;26.8;26.8;53.8;53.8;72.8;67.3;12;1258.0;29.5;29.5;49.0;37.1;67.2;51.3;15;1162.5;25.1;25.1;49.7;47.8;71.9;71.9;15;1551.9;32.0;17.3;58.7;56.3;75.1;66.5;14;
2005;06;1894.1;38.9;38.9;60.0;58.6;77.4;70.6;13;788.3;17.8;17.8;37.4;36.1;59.7;49.6;17;1121.5;27.9;27.9;45.7;42.4;61.0;58.4;17;1757.3;30.2;26.4;64.1;64.1;76.4;73.3;15;
2005;07;996.0;23.3;23.3;43.4;42.1;61.9;58.4;15;841.8;15.7;12.9;38.8;29.0;63.2;55.2;14;1055.2;24.6;24.6;45.9;45.9;65.5;60.4;15;1236.7;26.6;26.6;48.7;48.7;73.7;71.9;12;
2005;08;1154.1;24.3;24.3;50.5;43.5;69.7;58.4;15;2207.7;44.7;44.7;56.6;56.6;71.1;66.4;13;1423.2;31.3;31.3;53.4;47.1;71.8;66.6;13;1094.9;17.7;16.9;48.7;35.2;73.2;62.4;14;
2005;09;1674.6;32.4;32.4;64.2;64.2;79.9;76.0;11;1144.3;18.9;18.9;51.9;47.5;72.3;57.3;12;1400.0;27.5;27.5;58.0;49.6;73.6;71.6;12;1578.1;30.0;30.0;60.0;56.9;82.3;74.8;9;
2005;10;2538.4;47.4;47.4;65.2;65.2;81.9;77.6;10;1633.3;34.3;34.3;57.1;57.1;74.3;69.5;12;1706.5;35.7;35.7;58.6;58.6;75.6;66.4;11;1405.9;28.2;28.2;53.9;46.9;78.8;73.0;10;
