Wskaźnik;;Nakładyinwestycyjne.;Nakładyinwestycyjne.;Nakładyinwestycyjne.;Nakładyinwestycyjne.;Nakładyinwestycyjne.;Nakładyinwestycyjne.;Nakładyinwestycyjne.;Nakładyinwestycyjne.;Nakładyinwestycyjne.;Nakładyinwestycyjne.;Nakładyinwestycyjne.;Nakładyinwestycyjne.;NakładyinwestycyjnewedługsekcjiPKD;wtym;wtym;wtym;wtym;wtym;wtym;wtym;wtym;wtym;wtym;wtym;wtym;wtym;wtym;wtym;wtym;wtym;wtym;wtym;wtym;Wartośćkosztorysowainwestycjirozpoczętych
2008;1;x;x;x;x;x;x;x;x;x;x;x;x;;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
2008;2;43877;122;43771,1;122;15666,9;119,9;21888,8;122,6;5849,7;125;105,9;130,1;;24864,1;126,1;1912,3;123;16943,2;113,9;4628,2;141,1;1380,4;124,3;1607;129,3;5518,6;147,1;3364,5;123,6;3255,8;120,3;865,1;100,5;22549,3
2008;3;68320,6;111,1;68214,3;111,1;25548,6;109,4;33578,5;111,8;8471,5;113,5;106,3;130,8;;40044,1;120,1;3017,7;118;27197,7;109,9;7464,9;123,2;2363,8;120,5;2228,9;91,8;7675,3;114,4;5275,5;109,7;5216,7;111,4;1402,7;90,4;31782,5
2008;4;105117,6;108,8;104965;108,7;40223,7;105,2;51555,6;111,9;11783,5;105,5;152,6;159,7;;62868,3;119,1;5053,5;125,3;41320,1;106,8;12249,1;122,1;4245,6;135,7;2920,7;74,2;12344,2;121,8;8091,7;102,5;7669,6;106,2;2153;94,2;44061,9
2009;1;x;x;x;x;x;x;x;x;x;x;x;x;;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
2009;2;43650,7;94,7;43589,3;94,8;16919,4;108;22472,8;102,7;3504,9;59,9;61,4;58;;27148,9;109,2;2522,9;131,9;17435,3;102,9;4843,1;104,6;2347,6;170,1;1515,1;94,3;5317;96,3;2825,6;84;2898,8;89;769,7;89;17329,3
2009;3;64326,2;90,6;64273,1;90,7;26227;102,1;31988,2;89,5;5429,6;61,8;53,1;47,3;;40094,8;100,1;3578;118,6;24798,3;91,2;7754,9;103,9;3963,6;167,7;2095,4;94;7614,9;99,2;4570,4;86,6;4179,9;80,1;1209,2;86,2;25746,8
2009;4;94063,1;88,1;93983,4;88,1;38917,1;96,6;46179,7;86,5;8097,8;67,5;79,7;51,8;;58339,2;92,8;4947,1;97,9;34754,7;84,1;12239,6;99,9;6397,8;150,7;2953,1;101,1;10682,9;86,5;6965;86,1;6321;82,4;2004,6;93,1;35757,3
2010;1;x;x;x;x;x;x;x;x;x;x;x;x;;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
2010;2;34452,8;82,3;34432,6;82,4;13364;79,2;16466,8;78,2;4109;124,3;20,2;33;;20947,6;77,2;2027;80,3;11559,5;66,3;4842,2;100;2518,9;107,3;912,4;60,2;4020;75,6;2676;94,7;2285,2;78,8;678,8;88,2;24657,1
