020000;dolnośląskie;1;3;KOMITET WYBORCZY PARTIA ZIELONI;ZPOW-6040-4/18;P;7;SŁOBODZIAN;Maciej;Piotr;298;;PL;M;22;026401;m. Wrocław;Wrocław;
020000;dolnośląskie;1;3;KOMITET WYBORCZY PARTIA ZIELONI;ZPOW-6040-4/18;P;8;SZCZODROWSKA;Sandra;Anna;284;;PL;K;26;026401;m. Wrocław;Wrocław;
020000;dolnośląskie;1;3;KOMITET WYBORCZY PARTIA ZIELONI;ZPOW-6040-4/18;P;9;GAŁUSZEWSKA;Małgorzata;Izabela;398;;PL;K;60;026401;m. Wrocław;Wrocław;
020000;dolnośląskie;1;3;KOMITET WYBORCZY PARTIA ZIELONI;ZPOW-6040-4/18;P;10;KUBICKI;Krzysztof;Andrzej;455;;PL;M;40;026401;m. Wrocław;Wrocław;
020000;dolnośląskie;1;4;PO;ZPOW-6041-1/18;K;1;ŁAPIŃSKI;Marek;;30874;T;PL;M;47;022003;gm. Trzebnica;Trzebnica;
020000;dolnośląskie;1;4;PO;ZPOW-6041-1/18;K;2;PIASECKA;Magdalena;;20749;T;PL;K;37;026401;m. Wrocław;Wrocław;
020000;dolnośląskie;1;4;PO;ZPOW-6041-1/18;K;3;ROMAN;Grzegorz;Czesław;4885;;PL;M;59;022308;gm. Siechnice;Siechnice;
020000;dolnośląskie;1;4;PO;ZPOW-6041-1/18;K;4;WŁODARCZYK;Monika;;12190;T;PL;K;44;026401;m. Wrocław;Wrocław;
020000;dolnośląskie;1;4;PO;ZPOW-6041-1/18;K;5;STASZEWSKI;Waldemar;Zbigniew;2539;;PL;M;59;026401;m. Wrocław;Wrocław;
020000;dolnośląskie;1;4;PO;ZPOW-6041-1/18;K;6;BALICKA;Barbara;Zofia;3626;;PL;K;18;026401;m. Wrocław;Wrocław;
020000;dolnośląskie;1;4;PO;ZPOW-6041-1/18;K;7;STANIÓW;Katarzyna;;1029;;PL;K;67;026401;m. Wrocław;Wrocław;
020000;dolnośląskie;1;4;PO;ZPOW-6041-1/18;K;8;RUSIN;Anna;Zofia;1862;;PL;K;60;026401;m. Wrocław;Wrocław;
020000;dolnośląskie;1;4;PO;ZPOW-6041-1/18;K;9;CYBULSKI;Leszek;;1426;;PL;M;44;026401;m. Wrocław;Wrocław;
020000;dolnośląskie;1;4;PO;ZPOW-6041-1/18;K;10;WOJTERA;Marcin;;2158;;PL;M;25;026401;m. Wrocław;Wrocław;OK WROCŁAW
020000;dolnośląskie;1;5;SLD;ZPOW-6041-2/18;K;1;SIKORA;Arkadiusz;;4568;;PL;M;45;021401;m. Oleśnica;Oleśnica;
020000;dolnośląskie;1;5;SLD;ZPOW-6041-2/18;K;2;MIZA;Agnieszka;Joanna;1306;;PL;K;41;026401;m. Wrocław;Wrocław;
020000;dolnośląskie;1;5;SLD;ZPOW-6041-2/18;K;3;PERTEK;Piotr;Paweł;580;;PL;M;58;026401;m. Wrocław;Wrocław;
020000;dolnośląskie;1;5;SLD;ZPOW-6041-2/18;K;4;KLĄSKAŁA;Andrzej;;562;;PL;M;63;026401;m. Wrocław;Wrocław;Stowarzyszenie Komendantów Policji Polskiej
