teryt;okr;nrk;komitet;kandydat;glosy;procent;procentl;wynik;plec
020000;3;06;PO;OSADKOWSKI Łukasz Marek;846;0.43;1.17;N;M
020000;3;07;PO;KRAMARSKA Maria Krystyna;627;0.32;0.87;N;K
020000;3;08;PO;ONYŚKÓW Paweł;1057;0.54;1.47;N;M
020000;3;09;PO;DUDOJĆ Dariusz Piotr;1869;0.95;2.59;N;M
020000;3;10;PO;JAKACKA Barbara;779;0.40;1.08;N;K
020000;3;11;PO;GRELA Bożena Danuta;1016;0.52;1.41;N;K
020000;3;12;PO;GRZESZUK Bernadyna Renata;667;0.34;0.93;N;K
020000;3;13;PO;GURAZDA Jan Stefan;683;0.35;0.95;N;M
020000;3;14;PO;MATUSZKIEWICZ Bartłomiej;616;0.31;0.85;N;M
020000;3;15;PO;ULBIN Krystian Rafał;1363;0.69;1.89;N;M
020000;3;16;PO;GOLAK Julian Kazimierz;4967;2.52;6.89;N;M
020000;3;01;PSL;CAL Grażyna Joanna;6462;3.28;21.84;T;K
020000;3;02;PSL;PANTERAŁKA Urszula Edyta;3059;1.55;10.34;N;K
020000;3;03;PSL;GREGORCZYK Mariusz Grzegorz;2400;1.22;8.11;N;M
020000;3;04;PSL;PIELA Sylwia;2055;1.04;6.95;N;K
020000;3;05;PSL;KUBIAK Mieczysława Jolanta;1384;0.70;4.68;N;K
020000;3;06;PSL;KUSIAK Piotr;1482;0.75;5.01;N;M
020000;3;07;PSL;SKOTNICKI Wiktor Stanisław;1690;0.86;5.71;N;M
020000;3;08;PSL;SUCHODOLSKA Anna Teresa;1475;0.75;4.98;N;K
020000;3;09;PSL;DROZD Piotr;2231;1.13;7.54;N;M
020000;3;10;PSL;DREJKO Ryszard Marian;724;0.37;2.45;N;M
020000;3;11;PSL;WOŁYNIAK Przemysław Paweł;1066;0.54;3.60;N;M
020000;3;12;PSL;WINIARSKA Ilona;1419;0.72;4.80;N;K
020000;3;13;PSL;MIKOŁAJCZYK Łukasz;1019;0.52;3.44;N;M
020000;3;14;PSL;KULIŃSKA Wanda;874;0.44;2.95;N;K
020000;3;15;PSL;BIEGUS Leszek Stanisław;988;0.50;3.34;N;M
020000;3;16;PSL;DETYNA Marek Grzegorz;1261;0.64;4.26;N;M
020000;3;01;PiS;SOSIŃSKI Piotr Stefan;12640;6.42;34.61;T;M
020000;3;02;PiS;TYNIEC Jacek;3929;2.00;10.76;N;M
020000;3;03;PiS;GASZYŃSKA Elżbieta;2944;1.50;8.06;N;K
020000;3;04;PiS;GIERCZAK Jerzy;4547;2.31;12.45;T;M
020000;3;06;PiS;SZCZURKOWSKI Artur;639;0.32;1.75;N;M
020000;3;07;PiS;KARPIŃSKA Celina Anna;1077;0.55;2.95;N;K
020000;3;08;PiS;SZCZUROWSKA Janina Magdalena;564;0.29;1.54;N;K
020000;3;09;PiS;DEC Jolanta;2749;1.40;7.53;N;K
020000;3;10;PiS;ROSIAK Longin Jan;2110;1.07;5.78;N;M
020000;3;11;PiS;PASTERNAK Adriana Monika;843;0.43;2.31;N;K
020000;3;12;PiS;GRZYBOWSKI Piotr Stefan;584;0.30;1.60;N;M
020000;3;13;PiS;SALIŃSKI Krzysztof Kazimierz;406;0.21;1.11;N;M
020000;3;14;PiS;PODULKA Bogusław Józef;627;0.32;1.72;N;M
020000;3;15;PiS;OLEJNIK Mariusz;1077;0.55;2.95;N;M
020000;3;16;PiS;WILEWSKA Joanna Dorota;1786;0.91;4.89;N;K
020000;3;01;SLD;DYDUCH Marek;10471;5.32;44.59;T;M
020000;3;02;SLD;WĘGLARZ-JAKUBOWSKA Agnieszka Edyta;1225;0.62;5.22;N;K
020000;3;03;SLD;LUBIŃSKI Mirosław Aleksander;2650;1.35;11.28;N;M
020000;3;04;SLD;RATAJ Henryk;1375;0.70;5.85;N;M
020000;3;05;SLD;FUSZARA Anna Teresa;361;0.18;1.54;N;K
020000;3;06;SLD;CHOJNACKA-MAŁECKA Helena Kornela;324;0.16;1.38;N;K
020000;3;07;SLD;SUCHYTA Zbigniew Tadeusz;1836;0.93;7.82;N;M
020000;3;08;SLD;DŹWINIEL Ryszard Jerzy;1605;0.82;6.83;N;M
020000;3;09;SLD;GOJDKA Anna Maria;285;0.14;1.21;N;K
020000;3;10;SLD;ZALEWSKA Ewa Joanna;1254;0.64;5.34;N;K
020000;3;11;SLD;JANKOWSKI Jerzy Edmund;405;0.21;1.72;N;M
020000;3;12;SLD;WERNER Konrad Krzysztof;435;0.22;1.85;N;M
020000;3;13;SLD;PIĄTEK Ewa Barbara;730;0.37;3.11;N;K
020000;3;14;SLD;WAŁOWSKI Piotr;152;0.08;0.65;N;M
020000;3;15;SLD;MALIK Henryk Tomasz;377;0.19;1.61;N;M
020000;4;01;PO;PRZYBYLSKI Cezary Adam;12784;9.05;29.76;T;M
020000;4;02;PO;OBRĘBALSKI Marek Adam;7137;5.05;16.62;T;M
020000;4;03;PO;KRAWCZYK Iwona Małgorzata;6519;4.61;15.18;T;K
020000;4;04;PO;PAPAJ Hubert Wojciech;4384;3.10;10.21;N;M
020000;4;05;PO;GRZEŚKÓW Alicja Teresa;1433;1.01;3.34;N;K
020000;4;06;PO;BRODNIAK Roman Marek;2800;1.98;6.52;N;M
020000;4;07;PO;WIĘCKOWSKI Andrzej Włodzimierz;1007;0.71;2.34;N;M
020000;4;08;PO;SERAFIŃSKA Danuta;1291;0.91;3.01;N;K
