teryt;okr;nrk;komitet;kandydat;glosy;procent;procentl;wynik;plec
040000;2;09;PO;SZCZĘSNA Marlena Krystyna;1056;1.01;3.45;N;K
040000;2;10;PO;SZYNAL Henryk Paweł;951;0.91;3.11;N;M
040000;2;11;PO;SZYMCZAK Wioletta Maria;1105;1.06;3.61;N;K
040000;2;12;PO;MALISZEWSKA Arleta;1462;1.40;4.78;N;K
040000;2;01;PSL;ZABOROWSKI Tadeusz;6525;6.24;19.15;T;M
040000;2;02;PSL;DOMŻAŁA Marek Daniel;5713;5.46;16.77;N;M
040000;2;03;PSL;CZAPIEWSKA-SIEKIERKA Ewa;2821;2.70;8.28;N;K
040000;2;04;PSL;KŁOPOTEK Agnieszka Maria;5785;5.53;16.98;T;K
040000;2;05;PSL;PAWLUS-CZUBEK Kinga Katarzyna;498;0.48;1.46;N;K
040000;2;06;PSL;DREWCZYŃSKI Grzegorz;892;0.85;2.62;N;M
040000;2;07;PSL;GAŁGAŃSKI Adam;514;0.49;1.51;N;M
040000;2;08;PSL;LISTEWNIK Teresa Grażyna;1028;0.98;3.02;N;K
040000;2;09;PSL;WIŚNIEWSKI Ireneusz Stefan;786;0.75;2.31;N;M
040000;2;10;PSL;ZAKRYŚ Elżbieta;868;0.83;2.55;N;K
040000;2;11;PSL;KRASICKI Adam Henryk;1032;0.99;3.03;N;M
040000;2;12;PSL;MES Ewa Monika;7603;7.27;22.32;T;K
040000;2;01;PiS;WITKOWSKI Marek Leon;7413;7.09;36.04;T;M
040000;2;02;PiS;ROGACKI Józef;3525;3.37;17.14;N;M
040000;2;03;PiS;KONWIŃSKI Janusz Andrzej;1370;1.31;6.66;N;M
040000;2;04;PiS;KACZMAREK-SŁAWIŃSKA Katarzyna Anna;1549;1.48;7.53;N;K
040000;2;05;PiS;DŁUGOSZ Katarzyna Maria;536;0.51;2.61;N;K
040000;2;06;PiS;MAKOWSKI Waldemar Marek;682;0.65;3.32;N;M
040000;2;07;PiS;KLUCH Barbara Helena;280;0.27;1.36;N;K
040000;2;08;PiS;SKOCZEK Mariusz Sylwester;630;0.60;3.06;N;M
040000;2;09;PiS;RÓŻYCKA Agnieszka Anna;919;0.88;4.47;N;K
040000;2;10;PiS;PROSTOJANEK Józef Marian;229;0.22;1.11;N;M
040000;2;11;PiS;SZOSTAK Iwona Stanisława;612;0.59;2.98;N;K
040000;2;12;PiS;OCZKOWSKA Silvana Jadwiga;2825;2.70;13.73;N;K
040000;2;01;SLD;ANDRYSIAK Lucyna Mieczysława;3868;3.70;41.23;N;K
040000;2;02;SLD;OLSZAK Daniel;1724;1.65;18.38;N;M
040000;2;03;SLD;BLAUROK Zbigniew Eugeniusz;488;0.47;5.20;N;M
040000;2;04;SLD;RUCIŃSKA Małgorzata Maria;940;0.90;10.02;N;K
040000;2;05;SLD;OPENKOWSKI Rafał;172;0.16;1.83;N;M
040000;2;06;SLD;STACHURA Zofia Wiesława;224;0.21;2.39;N;K
040000;2;07;SLD;SZCZUCKI Wojciech;260;0.25;2.77;N;M
040000;2;08;SLD;DUDZIAK Jacek;363;0.35;3.87;N;M
040000;2;09;SLD;KISIEL Renata Maria;292;0.28;3.11;N;K
040000;2;10;SLD;ROKOSZEWSKI Tadeusz;265;0.25;2.82;N;M
040000;2;11;SLD;MISZCZAK Eleonora Maria;206;0.20;2.20;N;K
040000;2;12;SLD;KRUK Grzegorz Zygmunt;579;0.55;6.17;N;M
040000;3;01;PO;NOWAK Marek;8882;10.00;31.90;T;M
040000;3;02;PO;SOCHA Zbigniew Józef;3498;3.94;12.56;N;M
040000;3;03;PO;JANOSZ Anna;4595;5.17;16.50;T;K
040000;3;04;PO;GREGOROWICZ Maria Henryka;2328;2.62;8.36;N;K
040000;3;05;PO;SKONIECZKA Marcin Seweryn;2333;2.63;8.38;N;M
040000;3;06;PO;KAWSKI Franciszek Andrzej;869;0.98;3.12;N;M
040000;3;07;PO;TYSZKO Barbara;399;0.45;1.43;N;K
040000;3;08;PO;WIŚNIEWSKI Rafał;491;0.55;1.76;N;M
040000;3;09;PO;STEMPKA Małgorzata Justyna;486;0.55;1.75;N;K
040000;3;10;PO;MALINOWSKI Robert;3966;4.46;14.24;N;M
040000;3;01;PSL;BOBER Ryszard Jakub;12950;14.58;52.48;T;M
040000;3;02;PSL;CHAL Joe;712;0.80;2.89;N;M
