teryt;okr;nrk;komitet;kandydat;glosy;procent;procentl;wynik;plec;terytMZ;mzam
080000;3;05;PiS;SZYMAŃSKI Krzysztof Józef;912;1.62;7.45;N;M;081105;Lipinki Łużyckie
080000;3;06;PiS;KICHARD Krzysztof Piotr;270;0.48;2.21;N;M;081104;Jasień
080000;3;07;PiS;ŚPIEWAK Wanda Janina;1159;2.06;9.47;N;K;080206;Krosno Odrzańskie
080000;3;01;SLD;WONTOR Bogusław Tadeusz;2101;3.73;35.28;N;M;080906;Sulechów
080000;3;02;SLD;NIEKAŁO Krzysztof;995;1.77;16.71;N;M;081102;Żary
080000;3;03;SLD;RAFALSKI Rafał;1485;2.64;24.93;N;M;081104;Jasień
080000;3;04;SLD;ŻYCHOWSKA Beata Alicja;452;0.80;7.59;N;K;081110;Mirostowice Dolne
080000;3;05;SLD;JESSA Krystyna;214;0.38;3.59;N;K;081106;Lubsko
080000;3;06;SLD;IZDEBSKA Alina Greta;326;0.58;5.47;N;K;081107;Piotrów
080000;3;07;SLD;BARTNIK Mirosław Stanisław;383;0.68;6.43;N;M;081102;Żary
080000;4;01;PO;POLAK Elżbieta Anna;21431;24.53;64.54;T;K;086201;Zielona Góra
080000;4;02;PO;MROZEK Aleksandra;2157;2.47;6.50;T;K;086201;Zielona Góra
080000;4;03;PO;CIEMNOCZOŁOWSKI Sebastian Sylwester;3354;3.84;10.10;T;M;080909;Zabór
080000;4;04;PO;PAJĄK Tadeusz;2026;2.32;6.10;N;M;080906;Sulechów
080000;4;05;PO;MAKARSKA Alicja;1362;1.56;4.10;N;K;086201;Zielona Góra
080000;4;06;PO;SZYMAŃSKI Krzysztof Seweryn;734;0.84;2.21;N;M;086201;Zielona Góra
080000;4;07;PO;WALENCIK Mirosław Jan;948;1.09;2.85;N;M;080905;Nowogród Bobrzański
080000;4;08;PO;MARCHEWKA Mariusz;1194;1.37;3.60;N;M;086201;Zielona Góra
080000;4;01;PSL;FIEDOROWICZ Czesław;4415;5.05;58.21;N;M;086201;Zielona Góra
080000;4;02;PSL;MYŚLIWIEC Stanisław;566;0.65;7.46;N;M;080909;Dąbrowa
080000;4;03;PSL;GRUPA Bronisława Regina;324;0.37;4.27;N;K;080906;Sulechów
080000;4;04;PSL;OKOPIEŃ Stanisław;863;0.99;11.38;N;M;080908;Trzebiechów
080000;4;05;PSL;ŁAGODA Anna Maria;281;0.32;3.70;N;K;086201;Zielona Góra
080000;4;06;PSL;WRÓBLEWSKA Brygida;581;0.67;7.66;N;K;080904;Kargowa
080000;4;07;PSL;JANIK Tomasz Krzysztof;122;0.14;1.61;N;M;081102;Żary
080000;4;08;PSL;KUBICKI Jarosław Piotr;433;0.50;5.71;N;M;086201;Zielona Góra
080000;4;01;PiS;KOŚCIK Zbigniew;9838;11.26;52.39;T;M;086201;Zielona Góra
080000;4;02;PiS;ŁATWIŃSKI Kazimierz;3020;3.46;16.08;T;M;086201;Zielona Góra
080000;4;03;PiS;TOROŃ-FÓRMANEK Barbara Violetta;984;1.13;5.24;N;K;080903;Czerwieńsk
080000;4;04;PiS;BADACH-ROGOWSKI Roman Wiesław;707;0.81;3.76;N;M;086201;Zielona Góra
080000;4;05;PiS;DROZD Władysław;848;0.97;4.52;N;M;086201;Zielona Góra
080000;4;06;PiS;KAPUSTA Bożena;1421;1.63;7.57;N;K;080905;Nowogród Bobrzański
080000;4;07;PiS;CZERWIŃSKA Grażyna Teresa;935;1.07;4.98;N;K;080901;Babimost
080000;4;08;PiS;KOZAKIEWICZ Ryszard Aleksander;1027;1.18;5.47;N;M;080906;Sulechów
080000;4;01;SLD;WONTOR Tomasz Paweł;4217;4.83;59.01;N;M;086201;Zielona Góra
080000;4;02;SLD;BURDA Bogumiła;854;0.98;11.95;N;K;080903;Zagórze
080000;4;03;SLD;RZEŹNIK Jerzy;313;0.36;4.38;N;M;086201;Zielona Góra
080000;4;04;SLD;SYBIS-JEŻ Aneta Nina;460;0.53;6.44;N;K;080901;Babimost
080000;4;05;SLD;CYGAŃSKI Zbigniew Władysław;472;0.54;6.61;N;M;080908;Radowice
080000;4;06;SLD;BOHAREWICZ Agnieszka Anna;190;0.22;2.66;N;K;080906;Sulechów
080000;4;07;SLD;SOBOLEWSKA Joanna Henryka;237;0.27;3.32;N;K;080905;Nowogród Bobrzański
080000;4;08;SLD;FEDOROWICZ Teresa;403;0.46;5.64;N;K;080909;Zabór
080000;5;01;PO;POTĘGA Grzegorz Michał;5672;7.47;32.78;T;M;080407;Niedoradz
080000;5;02;PO;DYTKO Bogusław Kazimierz;2493;3.29;14.41;N;M;080404;Kożuchów
080000;5;03;PO;CHODOROWSKI Ryszard;1535;2.02;8.87;N;M;081002;Żagań
080000;5;04;PO;LASKOWSKA-TRZECIAK Beata;1215;1.60;7.02;N;K;081004;Iłowa
080000;5;05;PO;DRGAS Regina Anna;664;0.88;3.84;N;K;081007;Długie
080000;5;06;PO;GANCZAR Stanisława;1113;1.47;6.43;N;K;081007;Siecieborzyce
080000;5;07;PO;DZIŻA Elżbieta Felicja;526;0.69;3.04;N;K;081001;Gozdnica
080000;5;08;PO;KULCZYCKA Beata Katarzyna;4083;5.38;23.60;T;K;080401;Nowa Sól
080000;5;01;PSL;TOMCZYSZYN Stanisław;5049;6.65;40.02;T;M;081003;Chotków
080000;5;02;PSL;POLAK Elżbieta Olga;3357;4.42;26.61;N;K;086201;Zielona Góra
080000;5;03;PSL;SUSZYŃSKI Józef;1001;1.32;7.93;N;M;080401;Nowa Sól
080000;5;04;PSL;CZAJKOWSKA Dorota Danuta;552;0.73;4.38;N;K;081001;Gozdnica
080000;5;05;PSL;WITYŃSKA Urszula Stanisława;535;0.71;4.24;N;K;081005;Małomice
080000;5;06;PSL;WICHER Elżbieta;404;0.53;3.20;N;K;081201;Lipinki
080000;5;07;PSL;KOMAR Anna Sylwia;553;0.73;4.38;N;K;080405;Stary Staw
080000;5;08;PSL;CHUDY Roman Edward;1165;1.54;9.23;N;M;080406;Rejów
080000;5;01;PiS;GOŚNIOWSKA-KOLA Małgorzata Barbara;7691;10.14;35.67;T;K;081203;Przyczyna Górna
080000;5;02;PiS;PALUCH-SŁOWIŃSKA Małgorzata Beata;4146;5.46;19.23;T;K;080401;Nowa Sól
080000;5;03;PiS;BALCERZAK Klaudiusz;3392;4.47;15.73;N;M;081201;Sława
080000;5;04;PiS;GANCARZ Ewa Danuta;2338;3.08;10.84;N;K;081007;Szprotawa
080000;5;05;PiS;KLIMEK Tomasz;925;1.22;4.29;N;M;080404;Solniki
080000;5;06;PiS;SŁOMIŃSKI Leszek;903;1.19;4.19;N;M;081002;Żagań
080000;5;07;PiS;ZAMIATAŁA Stanisław;361;0.48;1.67;N;M;086201;Zielona Góra
080000;5;08;PiS;BORKOWSKA Patrycja Janina;1808;2.38;8.38;N;K;081201;Sława
080000;5;01;SLD;GOŹDZIEJEWSKI Zdzisław Tadeusz;835;1.10;13.94;N;M;081002;Żagań
080000;5;02;SLD;KĄKALEC Tadeusz;845;1.11;14.11;N;M;081203;Wschowa
080000;5;03;SLD;KAŁUSKI Maciej;570;0.75;9.52;N;M;080401;Nowa Sól
080000;5;04;SLD;RAU Emil;1011;1.33;16.88;N;M;086201;Zielona Góra
080000;5;05;SLD;WILCZYŃSKA Bogumiła;534;0.70;8.92;N;K;080404;Kożuchów
080000;5;06;SLD;ZAWADZKA Zofia Krystyna;702;0.93;11.72;N;K;081002;Żagań
080000;5;07;SLD;MOLENDA Halina;410;0.54;6.85;N;K;080407;Otyń
080000;5;08;SLD;PAŃTAK Kazimierz;1082;1.43;18.07;N;M;080907;Wilkanowo
100000;1;01;PO;BLIŹNIUK Paweł Kazimierz;48077;16.29;32.90;T;M;106101;Łódź
100000;1;02;PO;DRĄŻCZYK Paweł Feliks;4418;1.50;3.02;N;M;106101;Łódź
100000;1;03;PO;SKRZYDLEWSKA Joanna Katarzyna;56836;19.25;38.89;T;K;106101;Łódź
100000;1;04;PO;BUGAJSKI Marcin Andrzej;6363;2.16;4.35;T;M;106101;Łódź
100000;1;05;PO;RABIEGA Anna Barbara;5962;2.02;4.08;T;K;106101;Łódź
100000;1;06;PO;ZIEMNIEWICZ Bożena Maria;5939;2.01;4.06;T;K;106101;Łódź
100000;1;07;PO;BOGUSZ Mateusz Filip;2515;0.85;1.72;N;M;106101;Łódź
100000;1;08;PO;SOZAŃSKI Przemysław Robert;782;0.26;0.54;N;M;106101;Łódź
100000;1;09;PO;MARCZAK Maciej Szymon;2063;0.70;1.41;N;M;101901;Zduńska Wola
100000;1;10;PO;CIEPŁUCHA Paulina Izabela;4229;1.43;2.89;N;K;106101;Łódź
100000;1;11;PO;SADOWSKA Katarzyna Sandra;8951;3.03;6.13;T;K;106101;Łódź
100000;1;01;PSL;SIEMIŃSKI Henryk Stanisław;1364;0.46;21.28;N;M;106101;Łódź
100000;1;02;PSL;ŁUNIEWSKA-BURY Jolanta;721;0.24;11.25;N;K;106101;Łódź
100000;1;03;PSL;KACZMAREK Bogusław Marian;417;0.14;6.50;N;M;106101;Łódź
100000;1;04;PSL;MAJEWSKI Eugeniusz Paweł;475;0.16;7.41;N;M;106101;Łódź
100000;1;05;PSL;ZGIERSKA Wiesława Teresa;536;0.18;8.36;N;K;106101;Łódź
100000;1;06;PSL;BOREK Marcin;511;0.17;7.97;N;M;106101;Łódź
100000;1;07;PSL;TOMASIK Sylwia Katarzyna;346;0.12;5.40;N;K;106101;Łódź
100000;1;08;PSL;CHMIELEWSKA-PYTKA Beata Joanna;419;0.14;6.54;N;K;106101;Łódź
100000;1;09;PSL;KRYZIŃSKI Tomasz Piotr;112;0.04;1.75;N;M;106101;Łódź
100000;1;10;PSL;PIONTEK Marcin Tomasz;223;0.08;3.48;N;M;106101;Łódź
100000;1;11;PSL;BEDNAREK Maksymilian Patryk;1287;0.44;20.07;N;M;106101;Łódź
100000;1;01;PiS;ADAMCZYK Piotr;37856;12.82;51.46;T;M;106101;Łódź
100000;1;02;PiS;FISIAK Włodzimierz;7385;2.50;10.04;T;M;106101;Łódź
100000;1;03;PiS;GĘBSKI Krzysztof Jan;1699;0.58;2.31;N;M;106101;Łódź
100000;1;04;PiS;MAGIN Łukasz;6312;2.14;8.58;N;M;106101;Łódź
100000;1;05;PiS;ROSIAK Halina Barbara;8677;2.94;11.80;T;K;106101;Łódź
100000;1;06;PiS;KRÓL Michał Tomasz;6192;2.10;8.42;N;M;106101;Łódź
100000;1;07;PiS;LIK Krzysztof Jerzy;737;0.25;1.00;N;M;106101;Łódź
100000;1;08;PiS;BOBRAS-PAJĄK Jolanta Ewa;878;0.30;1.19;N;K;106101;Łódź
100000;1;09;PiS;CAŁA Jolanta Barbara;1122;0.38;1.53;N;K;106101;Łódź
100000;1;10;PiS;ZBIDI Anna Franciszka;501;0.17;0.68;N;K;106101;Łódź
100000;1;11;PiS;KARDAS Paulina Marianna;2198;0.74;2.99;N;K;106101;Łódź
100000;1;01;SLD;MAJEWSKI Grzegorz Piotr;6566;2.22;27.97;N;M;106101;Łódź
100000;1;02;SLD;BORS Piotr Marcin;5407;1.83;23.03;N;M;106101;Łódź
100000;1;03;SLD;ŚWIDERSKA Beata Katarzyna;2330;0.79;9.93;N;K;106101;Łódź
100000;1;04;SLD;LESZCZYŃSKI Lech Mirosław;738;0.25;3.14;N;M;106101;Łódź
100000;1;05;SLD;SAWICKA-KACPRZAK Monika Maria;1289;0.44;5.49;N;K;106101;Łódź
100000;1;06;SLD;BŁOCH Jacek Dariusz;955;0.32;4.07;N;M;106101;Łódź
100000;1;07;SLD;PAWLIK-NOWACKA Wioleta Kamila;924;0.31;3.94;N;K;106101;Łódź
100000;1;08;SLD;BŁASZCZYK Marek;764;0.26;3.25;N;M;106101;Łódź
100000;1;09;SLD;WNUK Alina;832;0.28;3.54;N;K;106101;Łódź
100000;1;10;SLD;PIERÓG Piotr;890;0.30;3.79;N;M;106101;Łódź
100000;1;11;SLD;TEODORCZYK Mieczysław;2781;0.94;11.85;N;M;106101;Łódź
100000;2;01;PO;JOŃSKI Dariusz;20853;13.02;50.67;T;M;106101;Łódź
100000;2;02;PO;RAFALSKA Ilona Maria;12451;7.77;30.25;T;K;102004;Aleksandrów Łódzki
100000;2;03;PO;LEWANDOWSKA Iwona Elżbieta;3723;2.32;9.05;N;K;106101;Łódź
100000;2;04;PO;GROEGER Martin Józef;426;0.27;1.04;N;M;106101;Łódź
100000;2;05;PO;WÓJCIK Zbigniew;1523;0.95;3.70;N;M;100501;Łowicz
100000;2;06;PO;WRÓBLEWSKI Marek Henryk;616;0.38;1.50;N;M;102003;Zgierz
100000;2;07;PO;STRUMIAN Edyta Grażyna;1566;0.98;3.80;N;K;102001;Głowno
100000;2;01;PSL;SZPAKOWSKI Dariusz Jarosław;6251;3.90;33.57;N;M;102006;Cedrowice-Parcela
100000;2;02;PSL;PACHOLSKI Michał Tomasz;3332;2.08;17.89;N;M;100401;Łęczyca
100000;2;03;PSL;WOŁOSZYN Paweł Tadeusz;2410;1.50;12.94;N;M;100211;Żychlin
100000;2;04;PSL;MOTYLIŃSKA Bożena;1611;1.01;8.65;N;K;102008;Wola Błędowa
100000;2;05;PSL;PIETRZAK Maria Wanda;1819;1.14;9.77;N;K;100510;Szymanowice
100000;2;06;PSL;MIKOŁAJCZYK Anna;1721;1.07;9.24;N;K;100211;Żychlin
100000;2;07;PSL;MYCZKA Andrzej;1476;0.92;7.93;N;M;100509;Bednary
100000;2;01;PiS;ANTCZAK Alicja Elżbieta;17562;10.96;29.33;T;K;102001;Głowno
100000;2;02;PiS;BARYŁA Robert Piotr;8959;5.59;14.96;N;M;100201;Kutno
100000;2;03;PiS;LINKOWSKI Zbigniew Sylwester;9252;5.77;15.45;T;M;102003;Zgierz
100000;2;04;PiS;GÓRCZYŃSKI Andrzej Robert;8852;5.53;14.78;N;M;100202;Wola Kałkowa
100000;2;05;PiS;NICIAK Ewelina Elżbieta;2551;1.59;4.26;N;K;100405;Leźnica Mała
100000;2;06;PiS;ŚMIAŁEK Jolanta Krystyna;2773;1.73;4.63;N;K;100201;Kutno
100000;2;07;PiS;WOJCIECHOWSKI Waldemar Jan;9924;6.19;16.58;T;M;100506;Wicie
100000;2;01;SLD;ADAMSKA-MAKOWSKA Anna Małgorzata;2489;1.55;37.51;N;K;106101;Łódź
100000;2;02;SLD;BARANOWSKI Bogdan;835;0.52;12.58;N;M;100201;Kutno
100000;2;03;SLD;CZAJKA Aneta;1067;0.67;16.08;N;K;100501;Łowicz
100000;2;04;SLD;CHLEBNA Wanda;861;0.54;12.98;N;K;100205;Mieczysławów
100000;2;05;SLD;SZYDLIK Grzegorz;477;0.30;7.19;N;M;102008;Lipka
100000;2;06;SLD;MAMIŃSKA Zuzanna Wanda;450;0.28;6.78;N;K;102003;Zgierz
100000;2;07;SLD;CIEŚLAK Janusz Antoni;456;0.28;6.87;N;M;102004;Rąbień
100000;3;01;PO;STĘPIEŃ Witold Heronim;21815;9.08;44.36;T;M;100801;Konstantynów Łódzki
100000;3;02;PO;SKIBIŃSKI Przemysław Józef;2303;0.96;4.68;N;M;100302;Łask
100000;3;03;PO;RYL Dorota Helena;6844;2.85;13.92;N;K;101401;Sieradz
100000;3;04;PO;BARTOS Bartłomiej;1736;0.72;3.53;N;M;101710;Kraszkowice
100000;3;05;PO;OWCZAREK Andrzej;7621;3.17;15.50;T;M;100302;Ostrów
100000;3;06;PO;CHEŁMIŃSKA Jolanta Maria;2291;0.95;4.66;N;K;106101;Łódź
100000;3;07;PO;BIEGAJŁO Małgorzata Barbara;3496;1.46;7.11;N;K;100802;Pabianice
100000;3;08;PO;ŁACMAŃSKI Krzysztof Antoni;679;0.28;1.38;N;M;101806;Zagórze
100000;3;09;PO;KUTZNER Grażyna;985;0.41;2.00;N;K;101103;Poddębice
100000;3;10;PO;MARCZAK Sławomira;1410;0.59;2.87;N;K;101901;Zduńska Wola
100000;3;01;PSL;ZIĘBA-GZIK Jolanta;16629;6.92;35.43;T;K;101901;Zduńska Wola
100000;3;02;PSL;CHOWIS Andrzej Franciszek;7951;3.31;16.94;T;M;101706;Ostrówek
100000;3;03;PSL;NAWROCKA Elżbieta Renata;5253;2.19;11.19;N;K;101807;Wieruszów
100000;3;04;PSL;WRÓBEL Jerzy;4096;1.70;8.73;N;M;101402;Kwasków
100000;3;05;PSL;OLAS-BERNACKA Ewa Katarzyna;853;0.36;1.82;N;K;106101;Łódź
100000;3;06;PSL;WEŁNA Jarosław Leszek;1183;0.49;2.52;N;M;100302;Łask
100000;3;07;PSL;NOWAK Adam Paweł;5166;2.15;11.01;N;M;100907;Marzęcice
100000;3;08;PSL;ZATON-SMOK Ewa Katarzyna;920;0.38;1.96;N;K;101403;Szczesie
100000;3;09;PSL;STĘPIEŃ Anna Maria;1511;0.63;3.22;N;K;101710;Przywóz
100000;3;10;PSL;STASIAK Wiesław Wojciech;3373;1.40;7.19;N;M;100807;Żytowice
100000;3;01;PiS;CIEBIADA Krzysztof;24973;10.40;27.25;T;M;100802;Pabianice
100000;3;02;PiS;SAGAN Marlena Barbara;19997;8.32;21.82;T;K;101904;Karsznice
100000;3;03;PiS;KIEDOS Edward Józef;7187;2.99;7.84;N;M;101707;Cieśle
100000;3;04;PiS;PIETKIEWICZ Jakub Maciej;2735;1.14;2.98;N;M;100801;Konstantynów Łódzki
100000;3;05;PiS;KOPERSKA Iwona Edyta;7705;3.21;8.41;T;K;100904;Pajęczno
100000;3;06;PiS;KRZAK Michał Bazyli;4351;1.81;4.75;N;M;101804;Lututów
100000;3;07;PiS;MATYSIAK Rafał Stefan;4785;1.99;5.22;N;M;101402;Kokoszki
100000;3;08;PiS;CIURA Paulina Kinga;5544;2.31;6.05;N;K;100901;Działoszyn
100000;3;09;PiS;WIĘCKOWSKA Dorota Anna;8583;3.57;9.36;T;K;101103;Góra Bałdrzychowska-Kolonia
100000;3;10;PiS;PRZYBYŁA Robert;5792;2.41;6.32;N;M;101409;Rossoszyca
100000;3;01;SLD;OLEJNICZAK Cezary Roman;5759;2.40;42.22;N;M;100502;Stary Waliszew
100000;3;02;SLD;KAŹMIERSKA-MAŁYSKA Iwona Monika;2730;1.14;20.01;N;K;101807;Mieleszynek
100000;3;03;SLD;MICHALSKA-SZMYTKE Joanna Katarzyna;864;0.36;6.33;N;K;100807;Petrykozy
100000;3;04;SLD;LEŚNICZAK Henryk Jan;630;0.26;4.62;N;M;101901;Zduńska Wola
100000;3;05;SLD;CEGLARSKA Bożena Teresa;709;0.30;5.20;N;K;101709;Wieluń
100000;3;06;SLD;KOWALSKI Stanisław Kazimierz;509;0.21;3.73;N;M;100908;Bogumiłowice
100000;3;07;SLD;STASIAK Stanisław Kazimierz;726;0.30;5.32;N;M;100302;Okup Mały
100000;3;08;SLD;SOBOLAK Renata Wioletta;314;0.13;2.30;N;K;101105;Plewnik Pierwszy
100000;3;09;SLD;SOBIERAJSKA Małgorzata Teresa;511;0.21;3.75;N;K;100904;Pajęczno
100000;3;10;SLD;ANDRZEJCZAK Arkadiusz;889;0.37;6.52;N;M;101401;Sieradz
100000;4;01;PO;KOWALCZYK Paweł;11883;5.98;30.10;T;M;101008;Rozprza
100000;4;02;PO;KACZOROWSKI Jacek Wiktor;5804;2.92;14.70;N;M;100101;Bełchatów
100000;4;03;PO;SPÓLNICKA Magdalena Sylwia;10116;5.09;25.62;N;K;101201;Radomsko
100000;4;04;PO;SOKALSKI Jacek Marian;5814;2.93;14.73;N;M;106201;Piotrków Trybunalski
100000;4;05;PO;ALAMA Michał;1287;0.65;3.26;N;M;101204;Paciorkowizna
100000;4;06;PO;BALD Zuzanna Helena;770;0.39;1.95;N;K;100608;Plichtów
100000;4;07;PO;MILER Magdalena Anna;1199;0.60;3.04;N;K;100101;Bełchatów
100000;4;08;PO;WOCHNA Sławomir Witold;2607;1.31;6.60;N;M;100607;Koluszki
100000;4;01;PSL;MAZUR Marek Marian;10340;5.21;42.52;T;M;106201;Piotrków Trybunalski
100000;4;02;PSL;KACZMAREK Jerzy Wojciech;5232;2.64;21.52;N;M;101202;Dobryszyce
100000;4;03;PSL;BARTKOWSKA Eliza Jadwiga;1040;0.52;4.28;N;K;101009;Uszczyn
100000;4;04;PSL;LEWIŃSKI Błażej Tadeusz;1220;0.61;5.02;N;M;100105;Kaszewice
100000;4;05;PSL;SAWICKA Monika Anna;1544;0.78;6.35;N;K;100607;Koluszki
100000;4;06;PSL;KACZOROWSKA Maria;1527;0.77;6.28;N;K;102004;Brużyczka Mała
100000;4;07;PSL;GANDZIAREK Jolanta;963;0.49;3.96;N;K;100108;Zelów
100000;4;08;PSL;OSSOWSKI Miron Tadeusz;2451;1.23;10.08;N;M;101004;Majków - Folwark
100000;4;01;PiS;ZIEMBA Zbigniew Jan;30021;15.12;37.87;T;M;101010;Wola Krzysztoporska
100000;4;02;PiS;DRÓŻDŻ Beata Zofia;15212;7.66;19.19;T;K;106201;Piotrków Trybunalski
100000;4;03;PiS;SZYMCZYK Krzysztof Feliks;4097;2.06;5.17;N;M;106101;Łódź
100000;4;04;PiS;NIEDŹWIECKA Aneta Anna;9054;4.56;11.42;T;K;101214;Żytno
100000;4;05;PiS;DERDA Sebastian;3713;1.87;4.68;N;M;100602;Wiśniowa Góra
100000;4;06;PiS;ELMINOWSKA Aleksandra;2608;1.31;3.29;N;K;100102;Zdzieszulice Górne
100000;4;07;PiS;ZYBERYNG Konrad Szymon;3184;1.60;4.02;N;M;101201;Radomsko
100000;4;08;PiS;ROGUT Dariusz Mariusz;11394;5.74;14.37;T;M;100108;Zelów
100000;4;01;SLD;OSTROWSKI Artur Zygmunt;9465;4.77;55.08;N;M;106201;Piotrków Trybunalski
100000;4;02;SLD;ROZPARA Tadeusz;3849;1.94;22.40;N;M;100101;Bełchatów
100000;4;03;SLD;PAWLIKOWSKA Monika Justyna;1121;0.56;6.52;N;K;101212;Strzałków
100000;4;04;SLD;KACPERSKI Sergiusz Lech;381;0.19;2.22;N;M;101204;Gomunice
100000;4;05;SLD;SŁOMCZYŃSKA Marzanna Zofia;394;0.20;2.29;N;K;106101;Łódź
100000;4;06;SLD;CHRZANOWSKI Bogdan;489;0.25;2.85;N;M;106201;Piotrków Trybunalski
100000;4;07;SLD;BEDNAREK Anna Beata;836;0.42;4.86;N;K;101004;Dziewuliny
100000;4;08;SLD;JABŁOŃSKI Wojciech;649;0.33;3.78;N;M;100602;Justynów
100000;5;01;PO;GAJEWSKI Arkadiusz Paweł;9895;6.47;46.47;T;M;101601;Tomaszów Mazowiecki
100000;5;02;PO;NOWAK Renata Anna;3012;1.97;14.15;N;K;102105;Wągry
100000;5;03;PO;SENEJKO Andrzej Jerzy;824;0.54;3.87;N;M;106301;Skierniewice
100000;5;04;PO;KUBA Elżbieta Ewa;1232;0.81;5.79;N;K;101304;Wałowice
100000;5;05;PO;LEWANDOWSKA Gertruda Maria;746;0.49;3.50;N;K;100708;Żarnów
100000;5;06;PO;MATYSIAK Bartłomiej Krzysztof;1264;0.83;5.94;N;M;101601;Tomaszów Mazowiecki
100000;5;07;PO;BUJNOWSKI Tadeusz Ryszard;4319;2.82;20.28;N;M;106301;Skierniewice
100000;5;01;PSL;KLIMCZAK Dariusz;19694;12.88;48.68;T;M;101304;Kaliszki
100000;5;02;PSL;BAGIEŃSKI Artur Jan;16984;11.11;41.98;N;M;100705;Paradyż
100000;5;03;PSL;OLSZEWSKA Grażyna Marianna;883;0.58;2.18;N;K;106301;Skierniewice
100000;5;04;PSL;DUDKA Iwona Maria;817;0.53;2.02;N;K;102101;Brzeziny
100000;5;05;PSL;KORAS Małgorzata Maria;268;0.18;0.66;N;K;106301;Skierniewice
100000;5;06;PSL;ŻEREK Jan;953;0.62;2.36;N;M;101601;Tomaszów Mazowiecki
100000;5;07;PSL;WOJTASZEK Włodzimierz;861;0.56;2.13;N;M;101609;Smardzewice
100000;5;01;PiS;WOJCIECHOWSKI Grzegorz Michał;28148;18.41;46.24;T;M;101305;Regnów
100000;5;02;PiS;WENDROWSKA Ewa Beata;7311;4.78;12.01;T;K;101601;Tomaszów Mazowiecki
100000;5;03;PiS;ANTKIEWICZ Dariusz Paweł;1179;0.77;1.94;N;M;106101;Łódź
100000;5;04;PiS;SAŁEK Paweł;10517;6.88;17.28;T;M;101506;Maków
100000;5;05;PiS;KRZYSZTOFIK Paulina;2587;1.69;4.25;N;K;101601;Tomaszów Mazowiecki
100000;5;06;PiS;OZGA-FLEJSZER Beata Ewa;4609;3.01;7.57;N;K;106301;Skierniewice
100000;5;07;PiS;CIESIELSKI Janusz Kazimierz;6525;4.27;10.72;N;M;100703;Zajączków
100000;5;01;SLD;SMURZYŃSKI Jarosław Józef;1264;0.83;24.20;N;M;106101;Łódź
100000;5;02;SLD;MENKE Lech Mikołaj;615;0.40;11.77;N;M;101601;Tomaszów Mazowiecki
100000;5;03;SLD;KARBOWIAK Małgorzata Stanisława;920;0.60;17.61;N;K;106301;Skierniewice
100000;5;04;SLD;IWASZKIEWICZ Adam Bogdan;508;0.33;9.72;N;M;101301;Rawa Mazowiecka
100000;5;05;SLD;WIŚNIEWSKA-KABAT Emilia Małgorzata;385;0.25;7.37;N;K;106101;Łódź
100000;5;06;SLD;STARYGA Jacek Waldemar;596;0.39;11.41;N;M;106301;Skierniewice
100000;5;07;SLD;CIESIELSKA Katarzyna Karolina;936;0.61;17.92;N;K;100704;Opoczno
120000;1;01;PO;SKOWROŃSKA Kinga Agnieszka;14347;8.79;30.22;T;K;121303;Chełmek
120000;1;02;PO;ARKIT Tadeusz Andrzej;11506;7.05;24.24;T;M;120304;Libiąż
120000;1;03;PO;COCKIEWICZ Marcin Michał;9145;5.60;19.27;N;M;121201;Bukowno
120000;1;04;PO;SIEMEK Krystyna Barbara;4034;2.47;8.50;N;K;120305;Trzebinia
120000;1;05;PO;BOJARSKI Andrzej Jan;4109;2.52;8.66;N;M;121301;Oświęcim
120000;1;06;PO;RAMS Małgorzata;2212;1.36;4.66;N;K;121207;Lgota Wolbromska
120000;1;07;PO;KASPERCZYK Bartłomiej Beniamin;2115;1.30;4.46;N;M;121305;Osiek
120000;1;01;PSL;MĄSIOR Bogusław Mikołaj;4239;2.60;28.59;N;M;120303;Chrzanów
120000;1;02;PSL;KAŁA Józef;5652;3.46;38.12;N;M;121307;Polanka Wielka
120000;1;03;PSL;SZCZEPANIK Wojciech Robert;767;0.47;5.17;N;M;126101;Kraków
120000;1;04;PSL;JABŁOŃSKA-WYPASEK Aneta Irena;1261;0.77;8.51;N;K;121206;Jangrot
120000;1;05;PSL;BOLEK Magdalena;1441;0.88;9.72;N;K;120302;Babice
120000;1;06;PSL;MATUSIAK Małgorzata Maria;1130;0.69;7.62;N;K;121304;Kęty
120000;1;07;PSL;PAPIUREK Marcin;335;0.21;2.26;N;M;121306;Grojec
120000;1;01;PiS;GIBAS Iwona Józefa;25795;15.81;45.24;T;K;121302;Brzeszcze
120000;1;02;PiS;WÓJCIK Andrzej Janusz;10982;6.73;19.26;T;M;121205;Olkusz
120000;1;03;PiS;KOSOWSKI Rafał;8874;5.44;15.57;T;M;120304;Żarki
120000;1;04;PiS;BUDZYŃSKA Marta Kinga;3692;2.26;6.48;N;K;121304;Kęty
120000;1;05;PiS;SZWAJNOCH Ewa Iwona;1360;0.83;2.39;N;K;120303;Chrzanów
120000;1;06;PiS;GĘGOTEK Zbigniew;2634;1.61;4.62;N;M;121205;Sieniczno
120000;1;07;PiS;PIECZKA Marta Anna;3675;2.25;6.45;N;K;121306;Babice
120000;1;01;SLD;MENTLEWICZ Janusz Mikołaj;2937;1.80;46.50;N;M;121205;Olkusz
120000;1;02;SLD;JANUSZYK Władysław;722;0.44;11.43;N;M;121301;Oświęcim
