okr;nrk;komitet;kandydat;glosy;procent;procentl;wynik;plec
10;10;PO;Agnieszka Beata DRZEWOSKA-ŁUCZAK;1716;0.60;3.88;N;K
10;11;PO;Hanna Marianna MOSCARDO-MALINOWSKI;120;0.04;0.27;N;K
10;12;PO;Grzegorz Józef SIEDLECKI;1133;0.40;2.56;N;M
10;13;PO;Konrad Andrzej CZYŻYŃSKI;234;0.08;0.53;N;M
10;14;PO;Beata WIKTOROWICZ;1329;0.47;3.01;N;K
10;15;PO;Tadeusz Ryszard BUJNOWSKI;1731;0.61;3.92;N;M
10;16;PO;Jacek Stefan GRZELAK;324;0.11;0.73;N;M
10;17;PO;Bartosz Mariusz URBAŃCZYK;315;0.11;0.71;N;M
10;18;PO;Jan TOMASZEWSKI;1347;0.47;3.05;N;M
10;01;PSL;Dariusz KLIMCZAK;6081;2.13;28.46;N;M
10;02;PSL;Krystyna Ewa OZGA;3383;1.18;15.84;N;K
10;03;PSL;Artur Jan BAGIEŃSKI;2808;0.98;13.14;N;M
10;04;PSL;Barbara Danuta ROBAK;737;0.26;3.45;N;K
10;05;PSL;Wojciech ŚLUSARCZYK;690;0.24;3.23;N;M
10;06;PSL;Szczepan Józef CHRZĘST;607;0.21;2.84;N;M
10;07;PSL;Alojzy WŁODARCZYK;1681;0.59;7.87;N;M
10;08;PSL;Anna Małgorzata KRÓL-POSPIESZNY;747;0.26;3.50;N;K
10;09;PSL;Jan WIERUSZEWSKI;667;0.23;3.12;N;M
10;10;PSL;Stanisław WITASZCZYK;1708;0.60;7.99;N;M
10;11;PSL;Małgorzata Agnieszka KUBIK;323;0.11;1.51;N;K
10;12;PSL;Piotr Henryk SKIERKOWSKI;114;0.04;0.53;N;M
10;13;PSL;Ewa Marzena MILCZAREK;394;0.14;1.84;N;K
10;14;PSL;Ewa Elżbieta ZAWADZKA;205;0.07;0.96;N;K
10;15;PSL;Leszek STACHOWIAK;159;0.06;0.74;N;M
10;16;PSL;Jerzy Jacek KOWALCZYK;227;0.08;1.06;N;M
10;17;PSL;Monika Agnieszka MATUSIEWICZ;150;0.05;0.70;N;K
10;18;PSL;Paulina Agnieszka DZIADCZYK;683;0.24;3.20;N;K
10;01;PiS;Antoni MACIEREWICZ;33960;11.89;25.32;T;M
10;02;PiS;Anna Maria MILCZANOWSKA;11562;4.05;8.62;T;K
10;03;PiS;Robert TELUS;18670;6.53;13.92;T;M
10;04;PiS;Bartłomiej Sebastian MISIEWICZ;1992;0.70;1.49;N;M
